rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
FunctionTransformer,,,normalization_features_imputation_rebalancing_discretization_classification,True,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,5,4,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,features_normalization_rebalancing_imputation_discretization_classification,True,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,5,4,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,normalization_imputation_features_rebalancing_discretization_classification,True,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,3,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,discretization_features_normalization_imputation_rebalancing_classification,True,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,2,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,features_normalization_rebalancing_imputation_discretization_classification,True,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,1,,2,2,2,gini,success,0.862122023420835
FunctionTransformer,,,normalization_imputation_discretization_rebalancing_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,2,2,3,entropy,success,0.862122023420835
FunctionTransformer,,,normalization_imputation_discretization_rebalancing_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,MLPClassifier,,50,,100,,,,,,,,success,0.7234883113490923
FunctionTransformer,,,normalization_imputation_features_discretization_rebalancing_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,4,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_rebalancing_normalization_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,4,2,4,entropy,success,0.862122023420835
SMOTE,,6,discretization_rebalancing_normalization_features_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,SelectKBest,,2,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,4,2,4,entropy,fail,-inf
FunctionTransformer,,,discretization_features_rebalancing_normalization_imputation_classification,,,,,FunctionTransformer,IterativeImputer,,constant,arabic,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,2,,3,2,4,gini,success,0.862122023420835
FunctionTransformer,,,discretization_normalization_rebalancing_features_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,constant,random,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,4,,4,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_features_discretization_rebalancing_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,5,4,,4,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,discretization_normalization_rebalancing_features_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,constant,roman,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,1,,4,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_rebalancing_features_normalization_discretization_classification,False,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,1,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,normalization_discretization_features_rebalancing_imputation_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,1,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,discretization_features_imputation_normalization_rebalancing_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,1,,2,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,discretization_normalization_features_rebalancing_imputation_classification,True,,True,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,4,,3,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,2,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_features_discretization_normalization_rebalancing_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,3,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,normalization_discretization_features_imputation_rebalancing_classification,,,,,FunctionTransformer,IterativeImputer,,constant,descending,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,3,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,features_rebalancing_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,3,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,normalization_imputation_features_rebalancing_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,3,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_features_discretization_normalization_rebalancing_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,3,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_rebalancing_normalization_discretization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,1,,3,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_rebalancing_discretization_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,4,,2,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_rebalancing_normalization_discretization_features_classification,,,,,PowerTransformer,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,2.0,,,,,DecisionTreeClassifier,best,,,,2,4,,2,2,2,entropy,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_normalization_imputation_discretization_classification,,True,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,5,,2,2,4,entropy,success,0.862122023420835
FunctionTransformer,,,normalization_rebalancing_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,5,,4,2,4,entropy,success,0.862122023420835
SMOTE,,6,normalization_imputation_discretization_features_rebalancing_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,SelectKBest,,3,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,5,,4,2,4,entropy,success,0.862122023420835
SMOTE,,6,rebalancing_features_imputation_normalization_discretization_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,1,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,5,,4,2,4,entropy,fail,-inf
SMOTE,,6,features_imputation_discretization_rebalancing_normalization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,SelectKBest,,3,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,2,5,,3,2,2,gini,fail,-inf
FunctionTransformer,,,normalization_features_imputation_rebalancing_discretization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,2,5,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,imputation_rebalancing_discretization_features_normalization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,5,4,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,normalization_rebalancing_imputation_discretization_features_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,5.0,,,,,GaussianNB,,,,,,,,,,,,success,0.8465515214836099
FunctionTransformer,,,features_discretization_imputation_rebalancing_normalization_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,PCA,2,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,,17,,,,euclidean,,,,,fail,-inf
FunctionTransformer,,,normalization_rebalancing_features_discretization_imputation_classification,True,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,0.0,,,,,DecisionTreeClassifier,best,,,,5,2,,3,2,2,gini,fail,-inf
FunctionTransformer,,,rebalancing_discretization_imputation_features_normalization_classification,True,,False,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,5,2,,3,2,2,gini,fail,-inf
