rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
SMOTE,,5,normalization_discretization_rebalancing_features_imputation_classification,True,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,5,5,,5,1,1,gini,fail,-inf
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,4,gini,success,0.862122023420835
FunctionTransformer,,,features_imputation_discretization_normalization_rebalancing_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,2.0,,,,,MLPClassifier,,10,,25,,,,,,,,success,0.8428951721736102
NearMiss,1,,normalization_rebalancing_discretization_features_imputation_classification,,False,,False,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,7,ordinal,,DecisionTreeClassifier,best,,,,3,3,,5,2,1,gini,fail,-inf
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,MLPClassifier,,5,,1,,,,,,,,success,0.7838455008488964
SMOTE,,6,rebalancing_features_discretization_normalization_imputation_classification,,,,,PowerTransformer,FunctionTransformer,,,,PCA,1,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,4,,4,3,4,gini,fail,-inf
NearMiss,1,,rebalancing_normalization_imputation_features_discretization_classification,False,,True,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,,,fail,-inf
FunctionTransformer,,,imputation_features_rebalancing_discretization_normalization_classification,,True,,False,RobustScaler,IterativeImputer,,constant,roman,FunctionTransformer,,,Binarizer,2.0,,,,uniform,KNeighborsClassifier,,,19,,,,minkowski,,,,,success,0.8052028644813024
FunctionTransformer,,,rebalancing_imputation_features_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,PCA,2,,KBinsDiscretizer,,uniform,4,ordinal,,DecisionTreeClassifier,best,,,,4,2,,4,2,4,entropy,success,0.4970867615689348
FunctionTransformer,,,features_normalization_rebalancing_discretization_imputation_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
