prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
features_imputation_normalization_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,roman,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,5,,,minkowski,,,,,success,0.679177441121414
normalization_discretization_imputation_features_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,Binarizer,0.5,,,,uniform,KNeighborsClassifier,,7,,,manhattan,,,,,fail,-inf
normalization_features_discretization_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,constant,random,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,5,,,euclidean,,,,,fail,-inf
features_normalization_imputation_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,8,,,minkowski,,,,,success,0.6731711723477428
normalization_imputation_features_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,4,,,minkowski,,,,,success,0.6628947368421052
normalization_discretization_imputation_features_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,5,,,minkowski,,,,,fail,-inf
normalization_discretization_imputation_features_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,7,,,minkowski,,,,,fail,-inf
discretization_features_imputation_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,8,,,minkowski,,,,,fail,-inf
normalization_discretization_imputation_features_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,4,,,minkowski,,,,,fail,-inf
imputation_features_normalization_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,random,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,6,,,minkowski,,,,,success,0.6771662095685865
imputation_features_normalization_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,descending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,6,,,minkowski,,,,,success,0.670058769753167
imputation_normalization_discretization_features_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,5,,,minkowski,,,,,success,0.6807903443472204
imputation_features_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,7,,,minkowski,,,,,success,0.8183766488180749
discretization_normalization_features_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,11,,,manhattan,,,,,fail,-inf
features_imputation_normalization_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,17,,,manhattan,,,,,success,0.8138798920377868
normalization_features_imputation_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.8177874276261374
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.811626616168212
normalization_features_imputation_discretization_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.7968956510382657
features_normalization_imputation_discretization_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.7874078185538287
discretization_features_imputation_normalization_classification,True,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,fail,-inf
imputation_normalization_discretization_features_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,14,,,minkowski,,,,,success,0.7573867049758392
discretization_imputation_normalization_features_classification,True,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,12,,,euclidean,,,,,fail,-inf
normalization_discretization_imputation_features_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,12,,,euclidean,,,,,fail,-inf
